rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6X8DTIJEgHUjZynuds0E2f","Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES","Tu jardín con enanitos","Sony Music Uruguay",1,1,8,"2375960"
2,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,2,20,"2185444"
3,"spotify:track:2iDDnYmaz1HhedjI91fbmp","DENNIS, Luísa Sonza, Emilia","MOTINHA 2.0 (Mete Marcha) - Remix","Sony Music Entertainment Brasil / 5020 Records",3,3,12,"1507350"
4,"spotify:track:4DnrAI8WyUY6gkOwl8GlPN","Alleh, Yorghaki","capaz (merengueton)","CONMUER LLC",3,6,27,"1386264"
5,"spotify:track:5lCk0ZeN8h76QxNqHEGMZJ","Cris MJ","Vamo a Bailotear","Sonar LLC.",4,4,3,"1370723"
6,"spotify:track:6WJ2QzbVnjmPGKpmb6tmmO","La T y La M","amor de veraNO","Sony Music Uruguay",5,5,9,"1362912"
7,"spotify:track:3jAshemiRYWukWLtT3Ivrb","Myke Towers, Quevedo","SOLEAO","WEA Latina",7,9,7,"1304472"
8,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",8,10,5,"1259562"
9,"spotify:track:0vcuJjViqrFCCWUrjrZW1X","Maria Becerra, Paulo Londra, XROSS","RAMEN PARA DOS","WEA Latina",1,8,10,"1204782"
10,"spotify:track:2XbsqBrOdYjm0OLBEepID7","TINI, Beéle","Universidad","5020 Records",3,7,4,"1196039"
11,"spotify:track:5MKbWaXeSQSmzmo7gPQha1","La T y La M, Malandro","Amor de Vago","GraceMusic",1,13,45,"1157867"
12,"spotify:track:0DMJz677XfXiiruhIELu2e","Jombriel, DFZM, Jøtta","VITAMINA","WEA Latina",4,11,19,"1095473"
13,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",6,16,28,"1045835"
14,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,17,28,"1017947"
15,"spotify:track:3UEIObvIQMJzF09RWRcqcP","Emilia, Luísa Sonza","bunda 🍑","Sony Music Latin",1,14,21,"1008120"
16,"spotify:track:6wDig9zSE2qpDbw1W3qqIX","FMK, Emilia, Nicki Nicole, Tiago PZK","MASNA REMIX","Sony Music Entertainment Chile S.A",12,12,6,"994222"
17,"spotify:track:2F6PBqz7aPA7K309aFKMHt","Cazzu","Con Otra","DALE PLAY Records / RIMAS Entertainment LLC",6,20,17,"992733"
18,"spotify:track:7dCGkDZgWIDSZyxInMkdIv","Mattei","Pa las girlas","WEA Latina",3,15,14,"978522"
19,"spotify:track:61qPUnazSdkvua4wgA4L8C","Babasonicos","Como Eran Las Cosas","Universal Music Argentina S.A.",19,22,122,"933321"
20,"spotify:track:2efbgTtEGNpsUZaOfgRTR6","Emilia, TINI, Nicki Nicole","blackout 🧊","Sony Music Latin",1,18,17,"932101"
21,"spotify:track:5DdLSEyKh8zgCrJq2hFj92","Yan Block, TORRRES","Yo sé","SONAR LLC.",11,19,28,"927524"
22,"spotify:track:7v6TT7EUEYAX1S7RZaZOkG","Duki","[FREE] 5202 Type Beat","DALE PLAY Records / SSJ Records",22,73,2,"892264"
23,"spotify:track:0AXKoQuC2NQ8S2QRF0Gu02","Plan B","Fronteo","Pina Records",23,32,5,"883490"
24,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",19,23,8,"844804"
