rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6X8DTIJEgHUjZynuds0E2f","Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES","Tu jardín con enanitos","Sony Music Uruguay",1,1,15,"2590386"
2,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,3,27,"1936349"
3,"spotify:track:4ksf1UdqNc9pU8R4ZZrgdY","Miranda!","Tu Misterioso Alguien","Pelo Music",1,2,8,"1908976"
4,"spotify:track:2mdrVnxEnPR6iFijakkxQS","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",4,5,10,"1857128"
5,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",4,4,12,"1777980"
6,"spotify:track:47aX1tXPTBpAG8Y2iAYmiy","Jere Klein, Katteyes, Mateo on the Beatz","TODO KE VER","2025 JERE KLEIN",6,8,3,"1689973"
7,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",7,7,7,"1508404"
8,"spotify:track:4OsBqqMwFabHATATT527tH","Myke Towers, Quevedo","SOLEAO","WEA Latina",4,9,14,"1268233"
9,"spotify:track:1xxL4IRO8CwdxSNm5bSNlw","Maria Becerra, XROSS","7 VIDAS","WEA Latina",9,11,2,"1233278"
10,"spotify:track:5IgmWwbNUeZzvYrODLletR","Max Carra","UWAIE - versión cumbia","Max Carra",10,17,31,"1204874"
11,"spotify:track:4DnrAI8WyUY6gkOwl8GlPN","Alleh, Yorghaki","capaz (merengueton)","CONMUER LLC",3,6,34,"1204264"
12,"spotify:track:5MKbWaXeSQSmzmo7gPQha1","La T y La M, Malandro","Amor de Vago","GraceMusic",1,16,52,"1101052"
13,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",13,21,15,"1066278"
14,"spotify:track:6WJ2QzbVnjmPGKpmb6tmmO","La T y La M","amor de veraNO","Sony Music Uruguay",5,13,16,"1050992"
15,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",15,50,10,"1049509"
16,"spotify:track:2iDDnYmaz1HhedjI91fbmp","DENNIS, Luísa Sonza, Emilia","MOTINHA 2.0 (Mete Marcha) - Remix","Sony Music Entertainment Brasil / 5020 Records",3,12,19,"1031635"
17,"spotify:track:61qPUnazSdkvua4wgA4L8C","Babasonicos","Como Eran Las Cosas","Universal Music Argentina S.A.",11,20,129,"1017866"
18,"spotify:track:2F6PBqz7aPA7K309aFKMHt","Cazzu","Con Otra","DALE PLAY Records / RIMAS Entertainment LLC",6,10,24,"994861"
19,"spotify:track:36x1AGih4bK9cnPjbbChgG","Lali, Miranda!","MEJOR QUE VOS","Sony Music Argentina",10,18,30,"960828"
20,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",6,15,35,"957652"
21,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,19,35,"942035"
22,"spotify:track:0c27qjzqEgMLMnWTl5bCU8","benjitalkapone","Mambinho Brasileño","Nextlevel music",22,24,10,"900319"
23,"spotify:track:5DdLSEyKh8zgCrJq2hFj92","Yan Block, TORRRES","Yo sé","SONAR LLC.",11,25,35,"868376"
24,"spotify:track:4zhk2RS2EZODmBW6il55Qj","Beéle, Ovy On The Drums","mi refe","5020 Records",20,39,35,"854759"
25,"spotify:track:0DMJz677XfXiiruhIELu2e","Jombriel, DFZM, Jøtta","VITAMINA","WEA Latina",4,44,26,"831849"
26,"spotify:track:0vcuJjViqrFCCWUrjrZW1X","Maria Becerra, Paulo Londra, XROSS","RAMEN PARA DOS","WEA Latina",1,14,17,"809420"
27,"spotify:track:1o4xkdBe0RjSf2u6VXi4OI","Yan Block, Panda Black","444","SONAR LLC.",25,33,30,"800920"
28,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",17,30,16,"795460"
29,"spotify:track:42VUCXerQ5qTr4Qp6PhKo4","Sabrina Carpenter","Tears","Island Records",29,-1,1,"790563"
30,"spotify:track:5vHWh24GAsXJ7tnIu8v7UN","Airbag","Por Mil Noches","DALE PLAY Records / Airbag",18,28,294,"788043"
31,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",29,29,84,"778505"
32,"spotify:track:6wDig9zSE2qpDbw1W3qqIX","FMK, Emilia, Nicki Nicole, Tiago PZK","MASNA REMIX","Sony Music Entertainment Chile S.A",12,26,13,"777336"
33,"spotify:track:1C7NXX8UJ6pgNx8EkmyZDd","Beéle","si te pillara","5020 Records",33,49,10,"752835"
34,"spotify:track:1KaXG7dVdwMH3gCtiAU39t","Emilia, TINI, Nicki Nicole","blackout 🧊","Sony Music Latin",1,27,24,"752510"
35,"spotify:track:0mYdCMOJH2nvHXx9VLzVBl","DesaKTa2","Entra En Mi vida / La De La Mala Suerte - En Vivo","Almenara Network S.A.S",14,23,8,"729979"
36,"spotify:track:2asUhQ9DDNtVinkQ095Rhm","Maria Becerra, XROSS","INFINITOS COMO EL MAR","WEA Latina",19,22,5,"721443"
37,"spotify:track:44m9PAUZYeOEGeaTYh6NAl","No Te Va Gustar, Juan Casanova","Tan Lejos","Elefante Blanco",28,36,162,"716668"
38,"spotify:track:7dCGkDZgWIDSZyxInMkdIv","Mattei","Pa las girlas","WEA Latina",3,31,21,"702967"
39,"spotify:track:2ANtIUI9cipWNI685VdlZb","Pablo Chill-E","Resentia","G STARR ENT",11,40,33,"700222"
40,"spotify:track:0CgpCtEPvyDizcg2p47VrU","No Te Va Gustar","A las Nueve","Elefante Blanco",27,34,349,"689284"
41,"spotify:track:6kPCcIAGoTeRrh8qrmKa90","Tiago PZK, Ke Personajes","Piel","WEA Latina",2,45,83,"688719"
42,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,41,182,"684035"
