rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
102,"spotify:track:5AH31dDNgxCMGDdxubNNn4","Fuerza Regida","NEL","Rancho Humilde/Street Mob Records",2,85,48,"1837642"
103,"spotify:track:3KQwuuHarLTIZIUXtwDmPN","Grupo Firme","Alégale Al Umpire","Music VIP Entertainment Presenta Grupo Firme",76,76,7,"1833806"
104,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",1,115,313,"1818965"
105,"spotify:track:6TBzRwnX2oYd8aOrOuyK1p","Oscar Maydon, Junior H","Fin de Semana","Rancho Humilde",4,97,115,"1814282"
106,"spotify:track:6HrALJOMsfPCCbUo5cJCON","Tito Double P, Chino Pacas","ESCAPATE","2024 Double P Records",3,95,44,"1811900"
107,"spotify:track:1SZUu98IR0MQzXwkKTNHk9","Oscar Maydon, Tito Double P","Pa Mí (feat. Tito Double P)","Rancho Humilde/Sony Music Latin",59,59,3,"1809558"
108,"spotify:track:4Nf5EZ40JenjMUKXOiyRU5","Peso Pluma","NUEVA VIDA","Double P Records",35,88,105,"1809451"
109,"spotify:track:2JJdNXpiCQoAeLQvVMpIEh","Juan Freer, miguel cornejo","Yo Vengo De La Nada","JF Records / D Luna Music",42,102,24,"1736172"
110,"spotify:track:1Vw3eejKjUosMf7oYfGGPx","Mentiras: La Serie, Belinda, Mariana Treviño, Diana Bovio, Regina Blandón","Cuando Baja La Marea (feat. Regina Blandón)","WM Mexico",110,-1,1,"1716633"
111,"spotify:track:179TZwPk0txEvjkraVTVKo","Alfredo Olivas","El Precio De La Soledad","Camiolvi",42,151,146,"1705276"
112,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",13,124,82,"1699616"
113,"spotify:track:7MmrcXVA7A5zZ2CbDuGHNa","Rels B","A Mí","DALE PLAY Records / Flakk Team",68,106,331,"1691673"
114,"spotify:track:64zQbQTwu4ppBEfWyhst9t","KAROL G","Papasito","Bichota/Interscope Records",114,-1,1,"1683822"
115,"spotify:track:4NUt1fcnO9aQAELBgXq3Kr","Alejandro Fernández","Me Dediqué a Perderte","Columbia",73,100,377,"1682695"
116,"spotify:track:47wy1oZsKUtxGV8YpbvYTS","Mentiras: La Serie, Diana Bovio","De Mi Enamórate","WM Mexico",116,-1,1,"1676752"
117,"spotify:track:5mB0MGsRfKZALHrXjnktCK","Caifanes","La Célula Que Explota","RCA Records Label",66,108,67,"1675558"
118,"spotify:track:6CRRlfXDdhsL6vih3J5xco","Alfredo Olivas","En Definitiva","Camiolvi",78,117,161,"1674034"
119,"spotify:track:4skuEIloXWuxxgekKupkEH","Mon Laferte","Tu Falta De Querer","Universal Music Mexico",52,144,177,"1673968"
120,"spotify:track:29vIEdxgMT9H1fnBMecWjA","Julión Álvarez y su Norteño Banda","Lo Tienes Todo","UMLE - Fonovisa",15,116,83,"1663189"
121,"spotify:track:64my6WOkrygcpXKMLxxpi9","La Arrolladora Banda El Limón De Rene Camacho","Ya Es Muy Tarde","Universal Music Mexico",81,128,48,"1659434"
122,"spotify:track:5EfHXTq8UPCFyPDvCNIKMm","Maldita Vecindad Y Los Hijos Del 5to. Patio","Kumbala","Ariola",113,113,4,"1647836"
123,"spotify:track:6QJCZyJv1fhkCyZA3lRoAD","Caifanes","Viento","RCA Records Label",68,125,36,"1634508"
124,"spotify:track:6YOfGIE6iFxC7G8OlGGvzW","Junior H","ROCKSTAR","WEA Latina",7,139,90,"1631424"
125,"spotify:track:22znRIyi8hIkD07fsAwo7i","Calle 24, Fuerza Regida, Chino Pacas","ULTIMAMENTE","WEA Latina",87,131,22,"1629304"
126,"spotify:track:6AnNmJG2OlQutOcfsE4B7e","Gabito Ballesteros","CLEOPATRA","Los CT Records",18,109,8,"1627270"
127,"spotify:track:0O3U5iwTbiXCREMkvotJuN","Grupo Frontera, Grupo Firme","EL AMOR DE SU VIDA","Grupo Frontera",5,111,99,"1625242"
128,"spotify:track:3HqcNJdZ2seoGxhn0wVNDK","KAROL G","PROVENZA","BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO",1,180,152,"1615905"
129,"spotify:track:46964wQT31RrX0XJ6ML62I","Carín León, Maluma","Si Tú Me Vieras","Socios Music, LLC",42,121,5,"1612540"
130,"spotify:track:53M0vEX1HG6jGsaDk5ZamF","Alan Arrieta, Ángel Galván, Gheef","POLARIZADOS","Gheef",130,155,5,"1606731"
