rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",1,1,11,"10757562"
2,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",1,2,11,"10223753"
3,"spotify:track:0N6h5RnzCNJG3JfROXQIMQ","Natanael Cano, Gabito Ballesteros","Perlas Negras","WEA Latina",3,3,3,"10008130"
4,"spotify:track:56bPsRfOKla3bGGmVz1uk4","Los Dareyes De La Sierra","Frecuencia","Double P Records",3,4,5,"9294798"
5,"spotify:track:7585wxMp2e3IhBq3tJAXgw","Calle 24","SUIZA","WEA Latina",4,5,12,"8945606"
6,"spotify:track:2qo9LSOvqq5yFxETD8XMaj","Tito Double P","CORAZÓN PARTÍO","Double P Records",6,6,3,"8226860"
7,"spotify:track:4oB8Xd7gMlUEtWoD8bmCXW","Neton Vega, Peso Pluma","Morena","Josa Records",1,7,22,"8011639"
8,"spotify:track:1eunv1DeEi29UfAcVEoLTt","Tito Double P","POR SUS BESOS","Double P Records",8,-1,1,"7951172"
9,"spotify:track:2JPctdUgvkQSpnUdfROxvY","Alemán, Neton Vega","Te Quería Ver","HOMEGROWN MAFIA S.A. DE C.V./Sony Music México-Latin",1,9,24,"7563739"
10,"spotify:track:3BZUM1xojiL3TvRo3T50R9","Natanael Cano","Blancanieves","WEA Latina",6,8,4,"6688745"
11,"spotify:track:5lCk0ZeN8h76QxNqHEGMZJ","Cris MJ","Vamo a Bailotear","Sonar LLC.",11,11,3,"6511000"
12,"spotify:track:2GP6UzoA55p6yYiPCGyEhg","Omar Camacho, Victor Mendivil","2+2","Rico o Muerto Music LLC",10,10,3,"6180707"
13,"spotify:track:3jS9G4KmuOwuawj3k4Smpc","Los Dareyes De La Sierra, Tito Double P","Vita Fer","Double P Records",2,12,16,"5831662"
14,"spotify:track:1a7onn7lPqqRWul5ogyMyX","Fuerza Regida","ANSIEDAD","Rancho Humilde/Street Mob Records/Sony Music Latin",7,13,11,"5732941"
15,"spotify:track:77pDO4WZPIdkwFve0iHWnb","Fuerza Regida","Por Esos Ojos","Rancho Humilde/Street Mob Records/Sony Music Latin",3,17,23,"5147240"
16,"spotify:track:41wEwoDCdrSPBHYJShUi8t","Jasiel Nuñez","Formula One","Double P Records",14,14,3,"5079977"
17,"spotify:track:4LDd2UU8XdtJRrIyPvR9vW","Alan Arrieta","Ay Mamita","Alan Arrieta/Del Norte Music",7,15,8,"4985511"
18,"spotify:track:07bruo5RoHasGqnun1Z31S","Neton Vega, Tito Double P","Chiquita","Josa Records",15,21,22,"4892201"
19,"spotify:track:5MBAaEt7s8El3WWhYinLzv","Oscar Maydon, Neton Vega","Amigos? No.","Rancho Humilde/Sony Music Latin",4,18,19,"4582207"
20,"spotify:track:2JlGo3jir6d0JLeYDvyPgh","Natanael Cano","Como Es","WEA Latina",16,16,3,"4535157"
21,"spotify:track:3KgHiAVuP88QoQs9CO4z1P","Tito Double P","TATTOO","Double P Records",1,22,20,"4427227"
22,"spotify:track:4N1dogCaVWnGyFdPjdqNWF","Clave Especial, Fuerza Regida","COMO CAPO","WEA Latina",5,24,21,"4421882"
23,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",19,23,29,"4406014"
24,"spotify:track:2HjRqfkjGe33JGlOdTtswE","8Uno, Airam Paez","Pelotero A La Bola","WM Mexico",24,32,6,"4181040"
25,"spotify:track:0TOQQZVCZdMFMxzHT6WEtD","Marcos Villalobos, Alan Arrieta","La Pantera","Gheef",14,20,14,"4171839"
26,"spotify:track:27aWzQn0uCuEwHkNlKi1jP","Oscar Maydon, Peso Pluma","Asquerosamente Rico","Rancho Humilde/Sony Music Latin",4,19,6,"4170148"
27,"spotify:track:3t72JCbFJ3syOhFC7x9Pa4","Neton Vega","M&M","Josa Records",5,27,22,"4160334"
28,"spotify:track:0L5gbpFGU06vqSHacOxgka","Clave Especial, Edgardo Nuñez","TU TU TU","WEA Latina",4,26,17,"4088786"
29,"spotify:track:3ddJ8Vbc5tYPxq5zKRVke6","KAROL G, Marco Antonio Solís","Coleccionando Heridas","Bichota/Interscope Records",25,25,4,"4028684"
30,"spotify:track:4eLDmhsJW3JoZTXCAozHor","Neton Vega","Loco","Josa Records",1,31,30,"3779219"
31,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",15,30,30,"3571406"
32,"spotify:track:5lKFO0PrOC9jmOlPEdjHsL","Tito Double P, Peso Pluma","DOS DÍAS","2024 Double P Records",2,38,47,"3470742"
33,"spotify:track:6X3h549Z7LJk881NPI5kTa","Gabito Ballesteros, Tito Double P","7 DÍAS","Los CT Records",1,35,24,"3452373"
34,"spotify:track:6uroNiDEDd0xFLiri0aQNk","Esau Ortiz","Triple Lavada","ESAU ORTIZ AZUARA/Sony Music Latin",3,29,15,"3422550"
35,"spotify:track:5mp6OBKCAjN4UYRvhOuUze","Oscar Maydon, Fuerza Regida","Tu Boda","Rancho Humilde/Sony Music Latin",1,37,42,"3404706"
