rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0N6h5RnzCNJG3JfROXQIMQ","Natanael Cano, Gabito Ballesteros","Perlas Negras","WEA Latina",1,1,9,"11124006"
2,"spotify:track:27Y0yW53n0R1Oxle01FKmj","Luis R Conriquez, Fuerza Regida, Neton Vega","Chula Vente","K Music/Sony Music Latin",2,2,5,"9763675"
3,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",1,4,17,"9206554"
4,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",1,5,17,"9099607"
5,"spotify:track:1eunv1DeEi29UfAcVEoLTt","Tito Double P","POR SUS BESOS","Double P Records",1,7,7,"8629101"
6,"spotify:track:1MPs1qa830QkHuyAOnaRqe","Chino Pacas","OJITOS MENTIROSOS","Streetmob Records",3,3,3,"8238240"
7,"spotify:track:56bPsRfOKla3bGGmVz1uk4","Los Dareyes De La Sierra","Frecuencia","Double P Records",3,6,11,"8139315"
8,"spotify:track:2GP6UzoA55p6yYiPCGyEhg","Omar Camacho, Victor Mendivil","2+2","Rico o Muerto Music LLC",8,9,9,"7417442"
9,"spotify:track:7585wxMp2e3IhBq3tJAXgw","Calle 24","SUIZA","WEA Latina",4,8,18,"6345697"
10,"spotify:track:2JPctdUgvkQSpnUdfROxvY","Alemán, Neton Vega","Te Quería Ver","HOMEGROWN MAFIA S.A. DE C.V./Sony Music México-Latin",1,10,30,"5882864"
11,"spotify:track:1a7onn7lPqqRWul5ogyMyX","Fuerza Regida","ANSIEDAD","Rancho Humilde/Street Mob Records/Sony Music Latin",7,12,17,"5623035"
12,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",11,11,8,"5577039"
13,"spotify:track:4oB8Xd7gMlUEtWoD8bmCXW","Neton Vega, Peso Pluma","Morena","Josa Records",1,17,28,"5437821"
14,"spotify:track:3BZUM1xojiL3TvRo3T50R9","Natanael Cano","Blancanieves","WEA Latina",6,13,10,"5037581"
15,"spotify:track:2SkB7jADnfiWH8qAE9H8cO","Xavi, Manuel Turizo","En Privado","Interscope Records",14,14,29,"4819354"
16,"spotify:track:3jS9G4KmuOwuawj3k4Smpc","Los Dareyes De La Sierra, Tito Double P","Vita Fer","Double P Records",2,15,22,"4556298"
17,"spotify:track:3QJXJACwdZ3EaIqdF5ZiXh","Victor Mendivil, Neton Vega","King of Watches","Rico o Muerto Music LLC",17,19,5,"4347925"
18,"spotify:track:77pDO4WZPIdkwFve0iHWnb","Fuerza Regida","Por Esos Ojos","Rancho Humilde/Street Mob Records/Sony Music Latin",3,18,29,"4300916"
19,"spotify:track:2qo9LSOvqq5yFxETD8XMaj","Tito Double P","CORAZÓN PARTÍO","Double P Records",6,20,9,"4272135"
20,"spotify:track:4B3cGux5Dy2VRYUbsqDj4M","Jimmy Guzman, Omar Camacho","3 AM","Lumbre Music",20,25,4,"4235423"
21,"spotify:track:5m6bsa7qhZXjSDDqwRRfTD","Los Dareyes De La Sierra","Pasta","Double P Records",12,16,4,"4092822"
22,"spotify:track:5MBAaEt7s8El3WWhYinLzv","Oscar Maydon, Neton Vega","Amigos? No.","Rancho Humilde/Sony Music Latin",4,21,25,"4011032"
23,"spotify:track:4e76Ss3ji7HQZ4qwcPNkNA","Junior H","MIENTRAS DUERMES","WEA Latina",22,38,42,"3906838"
24,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",15,23,36,"3863332"
25,"spotify:track:3KgHiAVuP88QoQs9CO4z1P","Tito Double P","TATTOO","Double P Records",1,24,26,"3852924"
26,"spotify:track:07bruo5RoHasGqnun1Z31S","Neton Vega, Tito Double P","Chiquita","Josa Records",15,34,28,"3759102"
27,"spotify:track:5mp6OBKCAjN4UYRvhOuUze","Oscar Maydon, Fuerza Regida","Tu Boda","Rancho Humilde/Sony Music Latin",1,27,48,"3643043"
28,"spotify:track:5lCk0ZeN8h76QxNqHEGMZJ","Cris MJ","Vamo a Bailotear","Sonar LLC.",11,22,9,"3524691"
29,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",19,31,35,"3518505"
30,"spotify:track:5lKFO0PrOC9jmOlPEdjHsL","Tito Double P, Peso Pluma","DOS DÍAS","2024 Double P Records",2,32,53,"3515610"
31,"spotify:track:4LDd2UU8XdtJRrIyPvR9vW","Alan Arrieta","Ay Mamita","Alan Arrieta/Del Norte Music",7,28,14,"3498066"
32,"spotify:track:6v5qt5KPQHJt5ckWuhDGtM","Victor Valverde, JR Torres","El Mayor De Los Ranas","Vim Music",9,30,42,"3328487"
33,"spotify:track:7x817ULPS5pcukCERAzUPh","Oscar Maydon, Victor Mendivil","ZAZA","Rancho Humilde/Sony Music Latin",31,39,12,"3274171"
34,"spotify:track:1lqSiPVISxVO0MC3b4l9ce","Victor Mendivil, $HUPE","PLAK","Rico o Muerto Music LLC",17,26,5,"3220863"
35,"spotify:track:4OLT65TRsOx3Iv1TlCcQVb","Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega","PRESIDENTE","Los CT Records",2,29,45,"3193232"
36,"spotify:track:6X3h549Z7LJk881NPI5kTa","Gabito Ballesteros, Tito Double P","7 DÍAS","Los CT Records",1,35,30,"3119263"
37,"spotify:track:31REg67eoHJSvMLUcEmGNj","La Arrolladora Banda El Limón De Rene Camacho","El Final De Nuestra Historia","Universal Music Mexico",30,37,115,"3114546"
38,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",5,33,34,"3089934"
39,"spotify:track:4N1dogCaVWnGyFdPjdqNWF","Clave Especial, Fuerza Regida","COMO CAPO","WEA Latina",5,45,27,"3064580"
40,"spotify:track:3ddJ8Vbc5tYPxq5zKRVke6","KAROL G, Marco Antonio Solís","Coleccionando Heridas","Bichota/Interscope Records",25,36,10,"3047079"
41,"spotify:track:5GTBdEjZe7zEDp1N0eCZE4","Peso Pluma, Estevan Plazola","HOLLYWOOD","2024 Double P Records",16,42,62,"3010321"
42,"spotify:track:6RcAHyC5sAUIbPTkhOQwd8","Junior H","Y LLORO","WEA Latina",5,61,99,"2997795"
43,"spotify:track:4eLDmhsJW3JoZTXCAozHor","Neton Vega","Loco","Josa Records",1,59,36,"2965409"
44,"spotify:track:7sd6zMrgGpEa7NkQm9TRrg","Tito Double P","NADIE","Double P Records",2,46,40,"2951261"
45,"spotify:track:3t72JCbFJ3syOhFC7x9Pa4","Neton Vega","M&M","Josa Records",5,56,28,"2872267"
46,"spotify:track:3IEvQ1CzszUJtTRLmmMJ2X","Tito Double P, Junior H","5-7","2024 Double P Records",10,66,53,"2870877"
47,"spotify:track:0LTwdL5yZ6YOTEGUQPFuSN","Tito Double P","ROSONES","Double P Records",1,58,38,"2800219"
48,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,44,34,"2793683"
49,"spotify:track:5LhI8m7n8xlQmNe3b7Rwis","Natanael Cano, Oscar Maydon","Madonna","WEA Latina",1,50,77,"2790163"
50,"spotify:track:2HjRqfkjGe33JGlOdTtswE","8Uno, Airam Paez","Pelotero A La Bola","WM Mexico",20,41,12,"2780014"
51,"spotify:track:0TOQQZVCZdMFMxzHT6WEtD","Marcos Villalobos, Alan Arrieta","La Pantera","Gheef",14,43,20,"2744556"
52,"spotify:track:5wIlxGNafMen8AW8ELPQYm","Victor Mendivil","Cholo","Rico o Muerto Music LLC",29,40,5,"2693438"
53,"spotify:track:0mfemgLsr0ucLSOBOc4xJ0","Tito Double P","CHAMPAGNE","Double P Records",4,63,15,"2690033"
54,"spotify:track:27aWzQn0uCuEwHkNlKi1jP","Oscar Maydon, Peso Pluma","Asquerosamente Rico","Rancho Humilde/Sony Music Latin",4,49,12,"2607345"
55,"spotify:track:51qYdMBxt9mFbtZBzq1Yfi","Julión Álvarez y su Norteño Banda","Regalo De Dios","UMLE - Fonovisa",3,47,87,"2581590"
56,"spotify:track:3D24ErT1MMmUfXWotSj2A2","Fuerza Regida, Grupo Frontera","ME JALO","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",5,48,36,"2577202"
57,"spotify:track:2XQnrr8gsvuGcJmPfk18iE","Victor Mendivil, Oscar Maydon","Me Paseo","Rico o Muerto Music LLC",46,52,5,"2565000"
58,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",12,55,34,"2544392"
59,"spotify:track:2mdrVnxEnPR6iFijakkxQS","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",57,57,4,"2507867"
60,"spotify:track:6uroNiDEDd0xFLiri0aQNk","Esau Ortiz","Triple Lavada","ESAU ORTIZ AZUARA/Sony Music Latin",3,53,21,"2498910"
61,"spotify:track:5CE77TLqLjOQ2qgAobzPds","Victor Mendivil","GOET","Rico o Muerto Music LLC",47,73,63,"2498839"
62,"spotify:track:7sLrrDpHMYNre6uq2LLB2b","Victor Mendivil","Ráfagas al Viento","Rico o Muerto Music LLC",20,60,26,"2487208"
63,"spotify:track:4ZOkfHC38nxSeSqzGE5HFr","Junior H","PIÉNSALO","WEA Latina",9,81,61,"2477360"
64,"spotify:track:4k1oaXf7i7KGHYniA8n4ul","Neton Vega, Chino Pacas","Gula","Josa Records",62,62,19,"2473235"
65,"spotify:track:24teIhDYO2RocTA2v5dY0r","Junior H","Extssy Model","WEA Latina",23,90,150,"2385878"
66,"spotify:track:0L5gbpFGU06vqSHacOxgka","Clave Especial, Edgardo Nuñez","TU TU TU","WEA Latina",4,65,23,"2360845"
67,"spotify:track:6Z0ybnsUBhbZ9ZjPW64eoF","Belanova","Rosa Pastel","Universal Music Mexico",22,54,140,"2283310"
68,"spotify:track:641M1deHD4Y0X74pt8csik","Armenta, Tito Double P","YO NO TE OLVIDO","WEA Latina",68,-1,1,"2279727"
69,"spotify:track:6xiQzVWczksJRBVbMDkV6A","Omar Camacho, Oscar Maydon","La Ciudad del Sol","Rico o Muerto by Baja Sound LLC",69,-1,1,"2273849"
70,"spotify:track:4e8HMW0GzmlDWPoRA9romo","Victor Mendivil","Jacobo Grinberg","Rico o Muerto Music LLC",31,69,20,"2273405"
71,"spotify:track:4JLZyyWuvvse6xKiZqRdau","Neton Vega","Todo a Su Tiempo","Josa Records",23,107,37,"2250294"
72,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",67,67,9,"2245109"
73,"spotify:track:6X6m4xmdFcz31p1h7Qg68c","Tito Double P","EL LOKERON","2024 Double P Records",1,78,53,"2241312"
74,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",1,68,322,"2218819"
75,"spotify:track:6Z7f0BXDLI8k4CHR9KJdAD","La Arrolladora Banda El Limón De Rene Camacho","Mi Segunda Vida","UMLE - Disa",62,71,50,"2211287"
76,"spotify:track:3UZSZV80iBxSeEOpXgO4FD","Fuerza Regida","CHAKA","Rancho Humilde/Street Mob Records/Sony Music Latin",76,97,14,"2179394"
77,"spotify:track:3FqUPvubYeRCMsdJ02QyZR","Fuerza Regida","TÚ NAME","Rancho Humilde/Street Mob Records",4,89,81,"2177164"
78,"spotify:track:0KHDthR0XvPoeJaqBc7Sg5","La Arrolladora Banda El Limón De Rene Camacho","Ya Te Perdí La Fe","UMLE - Disa",65,84,47,"2155172"
79,"spotify:track:41wEwoDCdrSPBHYJShUi8t","Jasiel Nuñez","Formula One","Double P Records",14,51,9,"2154926"
80,"spotify:track:3fJHbMUnzceimOnNjp63fF","Carín León","Primera Cita","Socios Music, LLC",2,80,122,"2153370"
81,"spotify:track:4Ndjd6DhKIC5IPoBIrMQuX","Carín León, Gabito Ballesteros","Ese Vato No Te Queda","Socios Music, LLC",9,64,42,"2128031"
82,"spotify:track:7DkOpEOBOwHg6VBj4blikS","Esau Ortiz, Luis R Conriquez, Oscar Maydon, Alemán, Victor Mendivil","Triple Lavada (feat. Victor Mendivil) - Remix","ESAU ORTIZ AZUARA/Sony Music Latin",6,75,13,"2115805"
83,"spotify:track:5LHPcY9yd0hWVFIW4yfOCJ","Chuyin, Fuerza Regida, Jorsshh, Calle 24","Pika Pika","Street Mob Records",6,82,34,"2098455"
84,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",9,72,41,"2074901"
85,"spotify:track:2Pve7muUYsaynWb9hL8CMb","Victor Mendivil","Tutankamon","Rico o Muerto Music LLC",23,74,5,"2071741"
86,"spotify:track:7obbjnrA9Z81q3F592aabg","Fuerza Regida","ayy weyy","Rancho Humilde/Street Mob Records/Sony Music Latin",42,77,17,"2070462"
87,"spotify:track:0uQhDYHyoZe5DpncrPolb6","Junior H","LAS NOCHES","WEA Latina",50,126,12,"2009977"
88,"spotify:track:73scB4Q4fcOmnsBVZPmk32","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",3,79,62,"2006376"
89,"spotify:track:4VWKUO1My9MfRecR5ftRkr","Julión Álvarez y su Norteño Banda","Rey Sin Reina","Copar Music, Inc",2,88,51,"1998909"
90,"spotify:track:2lAUq68F2bt7Kc218n9FPp","Tito Double P, Grupo Frontera","AY MAMÁ","2024 Double P Records",7,110,53,"1986862"
91,"spotify:track:7DTKpVBKNPsDGKwVTl2Txe","Tropicalísimo Apache","Ojitos Mentirosos","Universal Music Mexico",91,102,2,"1980122"
92,"spotify:track:6272S5nkbOvQDazRYq6muV","Fuerza Regida","caperuza","Rancho Humilde/Street Mob Records/Sony Music Latin",67,93,17,"1978780"
93,"spotify:track:64my6WOkrygcpXKMLxxpi9","La Arrolladora Banda El Limón De Rene Camacho","Ya Es Muy Tarde","Universal Music Mexico",70,70,57,"1966331"
94,"spotify:track:29vIEdxgMT9H1fnBMecWjA","Julión Álvarez y su Norteño Banda","Lo Tienes Todo","UMLE - Fonovisa",15,83,92,"1937592"
95,"spotify:track:0O3U5iwTbiXCREMkvotJuN","Grupo Frontera, Grupo Firme","EL AMOR DE SU VIDA","Grupo Frontera",5,114,108,"1934568"
96,"spotify:track:0HjV1R5MaVfJ5q1N1LzaHG","Cachirula, LOOJAN, El Malilla","BEIBY - Remix","Fabrika",46,101,34,"1909423"
97,"spotify:track:4mvD8af1IQary3hoe0KgOU","Lucky Brown, Jere Klein, Nes","Bella","Lucky Brown",79,91,13,"1904526"
98,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",59,119,24,"1903925"
99,"spotify:track:116NyTQvOVrcAWLrGwTiSA","Ian Cordova","Linda Mujer","Lucky Music Group",18,92,17,"1894157"
100,"spotify:track:6HrALJOMsfPCCbUo5cJCON","Tito Double P, Chino Pacas","ESCAPATE","2024 Double P Records",3,109,53,"1882931"
101,"spotify:track:6CRRlfXDdhsL6vih3J5xco","Alfredo Olivas","En Definitiva","Camiolvi",76,76,170,"1865739"
102,"spotify:track:1YYfyJ2yCvGFCxwjsIqEK9","Rauw Alejandro, Romeo Santos","Khé?","Sony Music Latin/Duars Entertainment",11,106,41,"1864135"
103,"spotify:track:5yXt80BNZGbmHFd0NHZHNn","Grupo Firme","El Beneficio De La Duda","Music VIP Entertainment Presenta Grupo Firme",5,99,65,"1863785"
104,"spotify:track:3qdeRGn9erK9sjs1kUtBys","Fuerza Regida","CHAVALITAS","Rancho Humilde/Street Mob Records/Sony Music Latin",104,122,11,"1859199"
105,"spotify:track:4skuEIloXWuxxgekKupkEH","Mon Laferte","Tu Falta De Querer","Universal Music Mexico",52,105,186,"1850657"
106,"spotify:track:1IDfAcL63xIRjG4Q98yTfn","Belanova","Cada Que...","Universal Music Mexico",85,85,3,"1848736"
107,"spotify:track:7MmrcXVA7A5zZ2CbDuGHNa","Rels B","A Mí","DALE PLAY Records / Flakk Team",68,113,340,"1846846"
108,"spotify:track:7qXptgpZGo8AFPhJCBVLFE","Tito Double P, Neton Vega","LINDA","2024 Double P Records",11,117,65,"1822783"
109,"spotify:track:6YOfGIE6iFxC7G8OlGGvzW","Junior H","ROCKSTAR","WEA Latina",7,135,99,"1814903"
110,"spotify:track:2BFY6af0xKPlLpjAzkfZni","BALCAZAR","Orula","Independent",95,95,3,"1814491"
